年,月,日,小时,分钟,秒,南北纬,纬度,纬度,经度,经度,东西经,
17年,05月,10日,01时,36分,50秒,北纬,40度,47.719分,111度,41.695分,西经,
17年,05月,10日,01时,36分,51秒,北纬,40度,47.719分,111度,41.695分,西经,
17年,05月,10日,01时,36分,52秒,北纬,40度,47.719分,111度,41.695分,西经,
17年,05月,10日,01时,36分,53秒,北纬,40度,47.719分,111度,41.695分,西经,
17年,05月,10日,01时,36分,54秒,北纬,40度,47.719分,111度,41.695分,西经,
17年,05月,10日,01时,36分,55秒,北纬,40度,47.719分,111度,41.695分,西经,
17年,05月,10日,01时,36分,56秒,北纬,40度,47.719分,111度,41.695分,西经,
17年,05月,10日,01时,36分,57秒,北纬,40度,47.719分,111度,41.695分,西经,
17年,05月,10日,01时,36分,58秒,北纬,40度,47.719分,111度,41.695分,西经,
17年,05月,10日,01时,36分,59秒,北纬,40度,47.719分,111度,41.695分,西经,
17年,05月,10日,01时,37分,00秒,北纬,40度,47.719分,111度,41.695分,西经,
17年,05月,10日,01时,37分,01秒,北纬,40度,47.719分,111度,41.695分,西经,
17年,05月,10日,01时,37分,02秒,北纬,40度,47.719分,111度,41.695分,西经,
17年,05月,10日,01时,37分,03秒,北纬,40度,47.719分,111度,41.695分,西经,
17年,05月,10日,01时,37分,04秒,北纬,40度,47.719分,111度,41.695分,西经,
17年,05月,10日,01时,37分,05秒,北纬,40度,47.722分,111度,41.691分,西经,
17年,05月,10日,01时,37分,06秒,北纬,40度,47.724分,111度,41.690分,西经,
17年,05月,10日,01时,37分,07秒,北纬,40度,47.726分,111度,41.688分,西经,
17年,05月,10日,01时,37分,08秒,北纬,40度,47.730分,111度,41.687分,西经,
17年,05月,10日,01时,37分,09秒,北纬,40度,47.733分,111度,41.685分,西经,
17年,05月,10日,01时,37分,10秒,北纬,40度,47.737分,111度,41.682分,西经,
17年,05月,10日,01时,37分,11秒,北纬,40度,47.742分,111度,41.680分,西经,
17年,05月,10日,01时,37分,12秒,北纬,40度,47.746分,111度,41.678分,西经,
17年,05月,10日,01时,37分,13秒,北纬,40度,47.750分,111度,41.676分,西经,
17年,05月,10日,01时,37分,14秒,北纬,40度,47.755分,111度,41.673分,西经,
17年,05月,10日,01时,37分,15秒,北纬,40度,47.760分,111度,41.670分,西经,
17年,05月,10日,01时,37分,16秒,北纬,40度,47.765分,111度,41.668分,西经,
17年,05月,10日,01时,37分,17秒,北纬,40度,47.770分,111度,41.665分,西经,
17年,05月,10日,01时,37分,18秒,北纬,40度,47.776分,111度,41.663分,西经,
17年,05月,10日,01时,37分,19秒,北纬,40度,47.781分,111度,41.660分,西经,
17年,05月,10日,01时,37分,20秒,北纬,40度,47.787分,111度,41.658分,西经,
17年,05月,10日,01时,37分,21秒,北纬,40度,47.793分,111度,41.656分,西经,
17年,05月,10日,01时,37分,22秒,北纬,40度,47.800分,111度,41.653分,西经,
17年,05月,10日,01时,37分,23秒,北纬,40度,47.806分,111度,41.650分,西经,
17年,05月,10日,01时,37分,24秒,北纬,40度,47.813分,111度,41.648分,西经,
17年,05月,10日,01时,37分,25秒,北纬,40度,47.818分,111度,41.646分,西经,
17年,05月,10日,01时,37分,26秒,北纬,40度,47.823分,111度,41.645分,西经,
17年,05月,10日,01时,37分,27秒,北纬,40度,47.827分,111度,41.644分,西经,
17年,05月,10日,01时,37分,28秒,北纬,40度,47.830分,111度,41.642分,西经,
17年,05月,10日,01时,37分,29秒,北纬,40度,47.832分,111度,41.641分,西经,
17年,05月,10日,01时,37分,30秒,北纬,40度,47.834分,111度,41.640分,西经,
17年,05月,10日,01时,37分,31秒,北纬,40度,47.836分,111度,41.639分,西经,
17年,05月,10日,01时,37分,32秒,北纬,40度,47.838分,111度,41.638分,西经,
17年,05月,10日,01时,37分,33秒,北纬,40度,47.840分,111度,41.637分,西经,
17年,05月,10日,01时,37分,34秒,北纬,40度,47.844分,111度,41.635分,西经,
17年,05月,10日,01时,37分,35秒,北纬,40度,47.848分,111度,41.633分,西经,
17年,05月,10日,01时,37分,36秒,北纬,40度,47.853分,111度,41.630分,西经,
17年,05月,10日,01时,37分,37秒,北纬,40度,47.857分,111度,41.628分,西经,
17年,05月,10日,01时,37分,38秒,北纬,40度,47.862分,111度,41.626分,西经,
17年,05月,10日,01时,37分,39秒,北纬,40度,47.867分,111度,41.623分,西经,
17年,05月,10日,01时,37分,40秒,北纬,40度,47.873分,111度,41.621分,西经,
17年,05月,10日,01时,37分,41秒,北纬,40度,47.878分,111度,41.619分,西经,
17年,05月,10日,01时,37分,42秒,北纬,40度,47.883分,111度,41.617分,西经,
17年,05月,10日,01时,37分,43秒,北纬,40度,47.889分,111度,41.615分,西经,
17年,05月,10日,01时,37分,44秒,北纬,40度,47.894分,111度,41.612分,西经,
17年,05月,10日,01时,37分,45秒,北纬,40度,47.899分,111度,41.610分,西经,
17年,05月,10日,01时,37分,46秒,北纬,40度,47.904分,111度,41.607分,西经,
17年,05月,10日,01时,37分,47秒,北纬,40度,47.909分,111度,41.605分,西经,
17年,05月,10日,01时,37分,48秒,北纬,40度,47.914分,111度,41.603分,西经,
17年,05月,10日,01时,37分,49秒,北纬,40度,47.919分,111度,41.601分,西经,
17年,05月,10日,01时,37分,50秒,北纬,40度,47.923分,111度,41.599分,西经,
17年,05月,10日,01时,37分,51秒,北纬,40度,47.927分,111度,41.597分,西经,
17年,05月,10日,01时,37分,52秒,北纬,40度,47.930分,111度,41.594分,西经,
17年,05月,10日,01时,37分,53秒,北纬,40度,47.934分,111度,41.593分,西经,
17年,05月,10日,01时,37分,54秒,北纬,40度,47.937分,111度,41.591分,西经,
17年,05月,10日,01时,37分,55秒,北纬,40度,47.939分,111度,41.590分,西经,
17年,05月,10日,01时,37分,56秒,北纬,40度,47.942分,111度,41.589分,西经,
17年,05月,10日,01时,37分,57秒,北纬,40度,47.945分,111度,41.587分,西经,
